index;id;name;barrier;tariffType;tariffGroupId;tariffGroupName;tariffGroupRushHourStart;tariffGroupRushHourEnd;tariffGroupTaxName;tariffGroupTaxRateLow;tariffGroupTaxRateLow;geometryType;geometryLatitude;geometryLongitude
38;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.91156;10.632618999999977
39;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.91156;10.632618999999977
25;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.91156;10.632618999999977
41;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.91156;10.632618999999977
43;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.91156;10.632618999999977
42;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.91156;10.632618999999977
44;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.91156;10.632618999999977
40;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.91156;10.632618999999977
45;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.91153903406801;10.63326613988113
30;jgtsdgvefy;Pårampe E18 fra Lysakerlokket;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.91156;10.632618999999977
47;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.91153903406801;10.63326613988113
48;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.91153903406801;10.63326613988113
49;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.91153903406801;10.63326613988113
46;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.91153903406801;10.63326613988113
51;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.91153903406801;10.63326613988113
52;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.91153903406801;10.63326613988113
53;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.91153903406801;10.63326613988113
20;tpe2cfrmmgn;Pårampe Granfoss fra E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909161;10.626336000000038
55;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.91153903406801;10.63326613988113
57;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.91153903406801;10.63326613988113
56;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.91153903406801;10.63326613988113
58;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.91153903406801;10.63326613988113
60;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.91153903406801;10.63326613988113
59;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.91153903406801;10.63326613988113
61;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.91153903406801;10.63326613988113
54;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.91153903406801;10.63326613988113
64;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.91153903406801;10.63326613988113
63;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.91153903406801;10.63326613988113
62;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.91153903406801;10.63326613988113
66;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.91153903406801;10.63326613988113
67;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.9128410283964;10.639776898147602
68;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.9128410283964;10.639776898147602
69;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.9128410283964;10.639776898147602
70;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.9128410283964;10.639776898147602
71;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.9128410283964;10.639776898147602
72;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.9128410283964;10.639776898147602
74;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.9128410283964;10.639776898147602
75;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.9128410283964;10.639776898147602
73;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.9128410283964;10.639776898147602
77;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.9128410283964;10.639776898147602
78;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.9128410283964;10.639776898147602
76;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.9128410283964;10.639776898147602
80;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.9128410283964;10.639776898147602
79;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.9128410283964;10.639776898147602
82;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.9128410283964;10.639776898147602
81;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro V og eldre;86;101;Point;59.9128410283964;10.639776898147602
83;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.9128410283964;10.639776898147602
65;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.91153903406801;10.63326613988113
85;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.9128410283964;10.639776898147602
86;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.9128410283964;10.639776898147602
87;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.9128410283964;10.639776898147602
88;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.9128410283964;10.639776898147602
84;0lvan3xh5w6e;Strandveien;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.9128410283964;10.639776898147602
90;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.909709;10.628329
91;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.909709;10.628329
92;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.909709;10.628329
50;tig0416jii;Rampe Lysaker til E18;Bygrensen;Toveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.91153903406801;10.63326613988113
94;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.909709;10.628329
95;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.909709;10.628329
96;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.909709;10.628329
89;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.909709;10.628329
100;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.909709;10.628329
98;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.909709;10.628329
97;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.909709;10.628329
99;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.909709;10.628329
102;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hydrogen;0;0;Point;59.909709;10.628329
